Send Rates,Block Size,Avg Latency,Throughput
197.5,90,1.57,136.6
200.4,100,1.95,142.9
200.3,110,2.48,137.2
199.8,120,2.01,135.7
199.6,130,3.62,139.3
197.5,140,1.97,158.9
200.2,150,1.79,160.3
200.6,160,1.98,159.8
200.3,170,2.24,161
200.5,180,2.09,161.8
200.3,190,2.24,160.4
200.1,200,1.67,160.8
