Send Rates,Block Size,Avg Latency,Throughput
45.2,250,1.21,43.6
45.2,260,1.18,44.7
45.2,270,1.17,44.7
45.2,280,1.21,43.8
45.2,290,1.21,43.5
45.2,300,1.21,43.6
45.2,310,1.22,43.6
45.2,320,1.2,44
45.2,330,1.21,43.8
45.2,340,1.22,43.6
45.2,350,1.21,43.4
45.2,360,1.22,43.8
45.2,370,1.22,43.2
45.2,380,1.22,43.4
45.2,390,1.2,43.4
45.2,400,1.21,43.4
45.2,410,1.2,44.2
45.2,420,1.2,44
45.2,430,1.21,43.6
45.2,440,1.21,43.2
45.2,450,1.19,44
45.2,460,1.22,43.3
45.2,470,1.21,43.4
45.2,480,1.2,43.6
45.2,490,1.2,43.4
45.2,500,1.19,44
45.2,510,1.2,43.7
45.2,520,1.21,43.8
45.2,530,1.18,44
45.2,540,1.2,43.4
45.2,550,1.2,44
45.2,560,1.21,43.8
45.2,570,1.2,43.4
45.2,580,1.2,43.6
45.2,590,1.18,44.7
45.2,600,1.2,43.4
45.2,610,1.23,43.3
45.2,620,1.21,43.2
45.2,630,1.21,44.1
45.2,640,1.2,43.8
45.2,650,1.22,43.2
45.2,660,1.19,44
45.2,670,1.21,43.2
45.2,680,1.23,43.2
45.2,690,1.2,44.2
45.2,700,1.2,44.1
45.2,710,1.23,43.3
45.2,720,1.23,43.8
45.2,730,1.22,43.6
45.2,740,1.19,43.6
45.2,750,1.2,43.6
45.2,760,1.2,43.8
45.2,770,1.21,43.8
45.2,780,1.21,43.4
45.2,790,1.19,43.2
45.2,800,1.19,44.2
50.2,10,0.1,50.1
50.2,20,0.21,50.1
50.2,30,0.33,45.7
50.2,40,0.43,50
50.2,50,0.55,50
50.2,60,0.71,47
50.2,70,0.81,46.1
50.2,80,0.93,46.9
50.3,90,1.03,45.6
50.2,100,1.15,49.8
50.2,110,1.23,48
50.2,120,1.25,47.9
50.2,130,1.21,48.1
50.2,140,1.22,47.9
50.2,150,1.26,47.7
50.2,160,1.25,47.9
50.2,170,1.26,47.3
50.2,180,1.23,48.3
50.2,190,1.22,48.4
50.2,200,1.23,48.4
50.2,210,1.19,48.8
50.2,220,1.22,48.1
50.2,230,1.23,47.7
50.3,240,1.22,48.2
50.3,250,1.24,47.7
50.2,260,1.25,47.5
50.3,270,1.24,47.7
50.2,280,1.2,48.4
50.2,290,1.22,47.9
50.2,300,1.2,48.8
50.2,310,1.25,47.7
50.2,320,1.21,48.1
50.2,330,1.26,47.5
50.2,340,1.23,47.9
50.2,350,1.21,48.5
50.2,360,1.24,47.5
50.2,370,1.23,48.1
50.2,380,1.25,47.7
50.2,390,1.25,48.4
50.2,400,1.23,48
50.2,410,1.22,47.9
50.2,420,1.22,48.6
50.2,430,1.23,47.7
50.2,440,1.21,48.2
50.2,450,1.25,48
50.2,460,1.2,48.2
50.2,470,1.22,47.7
50.3,480,1.19,48.4
50.2,490,1.2,48.4
50.2,500,1.22,48.2
50.2,510,1.24,47.4
50.2,520,1.23,47.9
50.2,530,1.23,47.5
50.2,540,1.23,47.9
50.2,550,1.22,47.9
50.2,560,1.22,48.3
50.2,570,1.21,48.6
50.2,580,1.22,48.4
50.2,590,1.23,48
50.2,600,1.21,48.2
50.2,610,1.23,48.4
50.2,620,1.22,47.8
50.2,630,1.23,47.7
50.2,640,1.23,47.7
50.2,650,1.23,47.7
50.2,660,1.23,47.7
50.2,670,1.21,48.4
50.2,680,1.29,47.4
50.2,690,1.27,47.7
50.2,700,1.21,48.7
50.2,710,1.25,48
50.2,720,1.24,48.4
50.2,730,1.22,48.2
50.2,740,1.22,48.6
50.2,750,1.21,48.6
50.2,760,1.23,47.7
50.2,770,1.23,48.1
50.2,780,1.23,48
50.2,790,1.21,48.4
50.2,800,1.26,47.3
55.2,10,0.09,55.2
55.2,20,0.19,55.1
55.2,30,0.32,49.8
55.2,40,0.41,55
55.2,50,0.51,55
55.3,60,0.67,51
55.2,70,0.75,50.2
55.3,80,0.88,51.1
55.3,90,0.95,49.8
55.2,100,1.06,54.9
55.2,110,1.17,49.8
55.2,120,1.28,52.7
55.3,130,1.25,52.8
55.3,140,1.28,53
55.2,150,1.29,53.4
55.2,160,1.27,53.1
55.3,170,1.29,52.6
55.2,180,1.28,52.9
55.2,190,1.27,53.3
55.2,200,1.27,52.6
55.2,210,1.23,54.4
55.2,220,1.25,52.8
55.3,230,1.27,52.9
55.2,240,1.27,53.4
55.3,250,1.25,53.5
55.2,260,1.25,53.1
55.2,270,1.26,53.4
55.3,280,1.25,53.4
55.3,290,1.24,53.6
55.2,300,1.25,53.2
55.2,310,1.25,53.3
55.2,320,1.26,53.6
55.2,330,1.29,53.1
55.3,340,1.27,52.9
55.3,350,1.24,52.9
55.3,360,1.26,53.1
55.2,370,1.26,53.3
55.2,380,1.25,52.8
55.2,390,1.3,52.9
55.2,400,1.26,52.8
55.3,410,1.26,53.3
55.3,420,1.28,53.1
55.2,430,1.25,53
