Send Rates,Block Size,Avg Latency,Throughput
160.8,90,0.58,121.2
160.2,100,0.89,127.7
160.6,110,0.76,120.9
160.5,120,0.96,123.2
160.6,130,1.2,121.8
160.1,140,1.16,121.3
160.3,150,0.96,121.6
159.8,160,1.07,121.2
160.5,170,0.9,120.4
160.6,180,0.72,122.7
160.5,190,0.85,121.6
160.6,200,0.91,121.8
162.6,10,2.2,118.8
167.2,20,2.37,122.6
170.6,30,1.26,124.5
170.4,40,0.9,125.2
170.5,50,1.65,125.4
170.5,60,0.52,128.8
170.2,70,0.49,127.2
170.9,80,0.59,128.5
170.2,90,1.21,128.5
170.3,100,0.95,131.6
170.6,110,0.75,126.4
170.6,120,0.88,129
169.8,130,0.94,161.2
170.4,140,0.91,160.3
170.4,150,0.85,161
170.8,160,1.07,159.7
170.6,170,0.92,160.5
170.5,180,0.77,160.3
170.3,190,0.91,159.9
170.3,200,0.92,159.6
135.2,10,2.21,105.4
175.9,20,2.03,126.4
179,30,1.68,129.1
157.2,40,2.73,115.7
180.9,50,1.77,129.5
180.8,60,0.68,132.1
180.7,70,0.62,132.4
180,80,0.87,132.7
180.1,90,1.03,130.7
180.7,100,0.97,138.6
180,110,1.01,130
180.3,120,1.58,129.8
180.1,130,1.25,160.5
180.7,140,1.05,161.8
175.4,150,1.49,157.9
181,160,1.23,159.5
180.2,170,0.97,159.8
181,180,0.96,160.7
180.3,190,1.19,159.5
180.1,200,1.06,162.2
178.6,10,1.64,126.8
187.7,20,1.91,133.5
179.1,30,1.76,127.1
185,40,2.23,129.3
185.5,50,2.09,130.3
190.7,60,0.85,135.1
190.3,70,1.01,134.9
190.5,80,1.05,135.3
188.8,90,1.05,134.6
187.3,100,1.4,137.6
189.8,110,1.52,130.7
189.3,120,1.43,134.4
190.5,130,1.69,159.4
169.6,140,2.04,122.3
146,150,1.45,118.5
189.3,160,1.46,161.6
189.9,170,1.06,163.5
190.4,180,1.28,158.5
190.6,190,1.33,163.1
189.6,200,1.35,161
183.9,10,2.17,131
185,20,1.38,130.2
191.5,30,1.85,134.1
175,40,2.49,121.3
200.3,50,2.11,135.9
200,60,1.11,139.4
200.7,70,1.03,139.1
200.2,80,1.48,138.2
197.5,90,1.09,137
193.6,100,1.57,138.7
197.8,110,1.62,177.2
197.6,120,1.65,137.6
196.6,130,1.7,159.7
200,140,1.8,158.7
190.2,150,1.7,160.6
200.5,160,1.35,160.8
187.5,170,2.17,158.4
198.9,180,1.31,163.5
197,190,1.65,163
198.3,200,1.63,161.6
