Time,Number
2014-09-02 22:55,23780
2014-09-02 23:00,21565
2014-09-02 23:05,22076
2014-09-02 23:10,20359
2014-09-02 23:15,20150
2014-09-02 23:20,18747
2014-09-02 23:25,21458
2014-09-02 23:30,17434
2014-09-02 23:35,19666
2014-09-02 23:40,18660
2014-09-02 23:45,16731
2014-09-02 23:50,15928
2014-09-02 23:55,15824
2014-09-03 00:00,16126
2014-09-03 00:05,15312
2014-09-03 00:10,14308
2014-09-03 00:15,12696
2014-09-03 00:20,12797
2014-09-03 00:25,12499
2014-09-03 00:30,11297
2014-09-03 00:35,12596
2014-09-03 00:40,11277
2014-09-03 00:45,9969
2014-09-03 00:50,9358
2014-09-03 00:55,9870
2014-09-03 01:00,9665
2014-09-03 01:05,10076
2014-09-03 01:10,8562
2014-09-03 01:15,7550
2014-09-03 01:20,6044
2014-09-03 01:25,8665
2014-09-03 01:30,7052
2014-09-03 01:35,8270
2014-09-03 01:40,6753
2014-09-03 01:45,6243
2014-09-03 01:50,5945
2014-09-03 01:55,5131
2014-09-03 02:00,5339
2014-09-03 02:05,4833
2014-09-03 02:10,3527
2014-09-03 02:15,4433
2014-09-03 02:20,2622
2014-09-03 02:25,4341
2014-09-03 02:30,3428
2014-09-03 02:35,3428
2014-09-03 02:40,3428
2014-09-03 02:45,2017
2014-09-03 02:50,2416
2014-09-03 02:55,2725
2014-09-03 03:00,3126
2014-09-03 03:05,3124
2014-09-03 03:10,3529
2014-09-03 03:15,2319
2014-09-03 03:20,3028
2014-09-03 03:25,3027
2014-09-03 03:30,2522
2014-09-03 03:35,3529
2014-09-03 03:40,2319
2014-09-03 03:45,2824
2014-09-03 03:50,3026
2014-09-03 03:55,2822
2014-09-03 04:00,3732
2014-09-03 04:05,3527
2014-09-03 04:10,2724
2014-09-03 04:15,4235
2014-09-03 04:20,3526
2014-09-03 04:25,3627
2014-09-03 04:30,4234
2014-09-03 04:35,3022
2014-09-03 04:40,4133
2014-09-03 04:45,3425
2014-09-03 04:50,4641
2014-09-03 04:55,4233
2014-09-03 05:00,6250
2014-09-03 05:05,6145
2014-09-03 05:10,6444
2014-09-03 05:15,5135
2014-09-03 05:20,8068
2014-09-03 05:25,7662
2014-09-03 05:30,8162
2014-09-03 05:35,10384
2014-09-03 05:40,10889
2014-09-03 05:45,8876
2014-09-03 05:50,8573
2014-09-03 05:55,8673
2014-09-03 06:00,8165
2014-09-03 06:05,10481
2014-09-03 06:10,11389
2014-09-03 06:15,13607
2014-09-03 06:20,15427
2014-09-03 06:25,14006
2014-09-03 06:30,15028
2014-09-03 06:35,14716
2014-09-03 06:40,16028
2014-09-03 06:45,15326
2014-09-03 06:50,15430
2014-09-03 06:55,16624
2014-09-03 07:00,17234
2014-09-03 07:05,15628
2014-09-03 07:10,18149
2014-09-03 07:15,18754
2014-09-03 07:20,21788
2014-09-03 07:25,23992
2014-09-03 07:30,20872
2014-09-03 07:35,22494
2014-09-03 07:40,22584
2014-09-03 07:45,21683
2014-09-03 07:50,19667
2014-09-03 07:55,20985
2014-09-03 08:00,19059
2014-09-03 08:05,22588
2014-09-03 08:10,24506
2014-09-03 08:15,27131
2014-09-03 08:20,27833
2014-09-03 08:25,25310
2014-09-03 08:30,24717
2014-09-03 08:35,27725
2014-09-03 08:40,26522
2014-09-03 08:45,26727
2014-09-03 08:50,23694
2014-09-03 08:55,25294
2014-09-03 09:00,25707
2014-09-03 09:05,23402
2014-09-03 09:10,25719
2014-09-03 09:15,27228
2014-09-03 09:20,26126
2014-09-03 09:25,30047
2014-09-03 09:30,25620
2014-09-03 09:35,25725
2014-09-03 09:40,25807
2014-09-03 09:45,26828
2014-09-03 09:50,25113
2014-09-03 09:55,25621
2014-09-03 10:00,22391
2014-09-03 10:05,23294
2014-09-03 10:10,27134
2014-09-03 10:15,26530
2014-09-03 10:20,24600
2014-09-03 10:25,24213
2014-09-03 10:30,22589
2014-09-03 10:35,24402
2014-09-03 10:40,24907
2014-09-03 10:45,25417
2014-09-03 10:50,22687
2014-09-03 10:55,22373
2014-09-03 11:00,24404
2014-09-03 11:05,21783
2014-09-03 11:10,22385
2014-09-03 11:15,23186
2014-09-03 11:20,20773
2014-09-03 11:25,20868
2014-09-03 11:30,22989
2014-09-03 11:35,21071
2014-09-03 11:40,20762
2014-09-03 11:45,23097
2014-09-03 11:50,21476
2014-09-03 11:55,21874
2014-09-03 12:00,19448
2014-09-03 12:05,18747
2014-09-03 12:10,21573
2014-09-03 12:15,19759
2014-09-03 12:20,19962
2014-09-03 12:25,20276
2014-09-03 12:30,20454
2014-09-03 12:35,18756
2014-09-03 12:40,21066
2014-09-03 12:45,22995
2014-09-03 12:50,19563
2014-09-03 12:55,21265
2014-09-03 13:00,21282
2014-09-03 13:05,19257
2014-09-03 13:10,21681
2014-09-03 13:15,22282
2014-09-03 13:20,21270
2014-09-03 13:25,19856
2014-09-03 13:30,23290
2014-09-03 13:35,20149
2014-09-03 13:40,19456
2014-09-03 13:45,23399
2014-09-03 13:50,22988
2014-09-03 13:55,21674
2014-09-03 14:00,22580
2014-09-03 14:05,24203
2014-09-03 14:10,24693
2014-09-03 14:15,22575
2014-09-03 14:20,22591
2014-09-03 14:25,22986
2014-09-03 14:30,25593
2014-09-03 14:35,22075
2014-09-03 14:40,22976
2014-09-03 14:45,26124
2014-09-03 14:50,25815
2014-09-03 14:55,22678
2014-09-03 15:00,23091
2014-09-03 15:05,23383
2014-09-03 15:10,27222
2014-09-03 15:15,26632
2014-09-03 15:20,27725
2014-09-03 15:25,31256
2014-09-03 15:30,27817
2014-09-03 15:35,28924
2014-09-03 15:40,28032
2014-09-03 15:45,29746
2014-09-03 15:50,30960
2014-09-03 15:55,31361
2014-09-03 16:00,30851
2014-09-03 16:05,32772
2014-09-03 16:10,33164
2014-09-03 16:15,33477
2014-09-03 16:20,30852
2014-09-03 16:25,33378
2014-09-03 16:30,34480
2014-09-03 16:35,31754
2014-09-03 16:40,33568
2014-09-03 16:45,32370
2014-09-03 16:50,37208
2014-09-03 16:55,31060
2014-09-03 17:00,35390
2014-09-03 17:05,33462
2014-09-03 17:10,38314
2014-09-03 17:15,37834
2014-09-03 17:20,38324
2014-09-03 17:25,41251
2014-09-03 17:30,39017
2014-09-03 17:35,38118
2014-09-03 17:40,37017
2014-09-03 17:45,34684
2014-09-03 17:50,37720
2014-09-03 17:55,37915
2014-09-03 18:00,39415
2014-09-03 18:05,38118
2014-09-03 18:10,39819
2014-09-03 18:15,45387
2014-09-03 18:20,36704
2014-09-03 18:25,40154
2014-09-03 18:30,36613
2014-09-03 18:35,40830
2014-09-03 18:40,38628
2014-09-03 18:45,37100
2014-09-03 18:50,41339
2014-09-03 18:55,38937
2014-09-03 19:00,41544
2014-09-03 19:05,37006
2014-09-03 19:10,42664
2014-09-03 19:15,42657
2014-09-03 19:20,42058
2014-09-03 19:25,42167
